,cust_identifier,tstamp,country_code,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10
90NC#AR#2021-02-17T21:45:15Z,90NC,2021-02-17T21:45:15Z,AR,9696772,2754760,7978360,3445063,2481971,1758252,8866130,1174990,1249252,4194944
8Y9P#AR#2021-02-17T14:48:42Z,8Y9P,2021-02-17T14:48:42Z,AR,5902386,5780457,3982480,3565102,9943477,8827608,6187793,671217,9378909,6410464
8Z93#AR#2021-02-17T18:58:37Z,8Z93,2021-02-17T18:58:37Z,AR,7196985,3419868,3886796,8890443,968402,7984387,6754956,7293722,7276575,1081944
8XO8#AR#2021-02-17T03:31:33Z,8XO8,2021-02-17T03:31:33Z,AR,4423749,1965142,7978594,3680809,4092274,1509028,5109652,3154470,8754029,9405148
8ZY5#AR#2021-02-17T18:19:18Z,8ZY5,2021-02-17T18:19:18Z,AR,1618284,6520836,1524148,6355462,3777653,5728262,4681221,2034664,6279519,5611517
8WD1#AR#2021-02-17T17:39:15Z,8WD1,2021-02-17T17:39:15Z,AR,755362,2420912,2024319,6152215,8541297,9883139,1359584,8615031,8567775,2857734
8Y4N#AR#2021-02-17T06:24:14Z,8Y4N,2021-02-17T06:24:14Z,AR,7871679,1206400,5917362,5972663,8698801,627425,2371657,4168663,8910676,1251666
8Y95#AR#2021-02-17T11:24:39Z,8Y95,2021-02-17T11:24:39Z,AR,3682010,6678685,3007073,1222774,45497,2438947,6116245,3299742,4025348,8359692
8YHQ#AR#2021-02-17T19:36:53Z,8YHQ,2021-02-17T19:36:53Z,AR,7521245,7729566,3904608,4016264,3502127,9944796,2964463,2837258,9822598,7833639
90V2#AR#2021-02-17T21:15:10Z,90V2,2021-02-17T21:15:10Z,AR,3784443,4076657,8698482,4005065,2245381,1472445,7529712,9395396,5060674,2519689
926Q#AR#2021-02-17T19:20:57Z,926Q,2021-02-17T19:20:57Z,AR,5161235,227831,9530483,4813140,4558043,5683162,9723332,1553267,8971786,1978690
93G4#AR#2021-02-17T01:11:19Z,93G4,2021-02-17T01:11:19Z,AR,1551332,2029143,4162519,9392820,4818930,4163962,9155337,2979643,1294948,8424008
92O6#AR#2021-02-17T16:50:07Z,92O6,2021-02-17T16:50:07Z,AR,2489698,5449625,8378129,5858154,1025811,4338532,1878212,8197936,8136644,5139077
